P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
1.5183333333333333,0.38166666666666665,0.3516666666666667,0.38666666666666666,0.5666666666666667
8.313333333333333,1.0683333333333334,1.1183333333333334,1.1383333333333334,1.3183333333333334
9.081666666666667,1.8016666666666667,1.8533333333333333,1.8883333333333334,2.0533333333333332
,2.52,2.57,2.59,2.755
,3.205,3.255,3.275,3.4383333333333335
,3.84,3.89,3.925,4.073333333333333
,4.458333333333333,4.523333333333333,4.56,4.708333333333333
,5.091666666666667,5.141666666666667,5.176666666666667,5.341666666666667
,5.726666666666667,5.776666666666666,5.8116666666666665,5.976666666666667
,6.46,6.443333333333333,6.463333333333333,6.628333333333333
,7.163333333333333,7.145,7.165,7.345
,7.846666666666667,7.8966666666666665,7.915,8.096666666666666
,8.613333333333333,8.648333333333333,8.683333333333334,8.848333333333333
,9.481666666666667,9.4,9.435,9.6
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
3,14,14,14,14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
