P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
0.36666666666666664,0.21666666666666667,0.03333333333333333,0.05333333333333334,0.735
0.9183333333333333,0.5333333333333333,0.5833333333333334,0.6033333333333334,1.3016666666666667
1.4533333333333334,1.085,1.135,1.155,1.8533333333333333
2.0366666666666666,1.6366666666666667,1.685,1.705,2.42
2.555,2.203333333333333,2.236666666666667,2.2716666666666665,2.955
3.1216666666666666,2.7533333333333334,2.7883333333333336,2.8233333333333333,3.5216666666666665
3.74,3.2883333333333336,3.3383333333333334,3.3583333333333334,4.1066666666666665
5.225,3.8233333333333333,3.8733333333333335,3.8916666666666666,4.641666666666667
5.776666666666666,4.3566666666666665,4.39,4.426666666666667,5.175
6.31,4.89,4.925,4.96,5.71
6.876666666666667,5.408333333333333,5.458333333333333,5.4783333333333335,6.243333333333333
7.411666666666667,5.943333333333333,5.976666666666667,6.011666666666667,6.693333333333333
7.963333333333333,6.476666666666667,6.526666666666666,6.546666666666667,7.245
8.515,7.028333333333333,7.0616666666666665,7.096666666666667,7.796666666666667
9.098333333333333,7.578333333333333,7.628333333333333,7.648333333333333,8.348333333333333
9.748333333333333,8.146666666666667,8.18,8.215,8.915
,8.696666666666667,8.731666666666667,8.766666666666667,9.483333333333333
,9.265,9.298333333333334,9.335,
,9.698333333333334,9.866666666666667,9.901666666666667,
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
16,19,19,19,17
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
