P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
,0.18333333333333332,0.11666666666666667,0.13666666666666666,0.31666666666666665
,0.75,0.785,0.82,1.0016666666666667
,1.4183333333333332,1.485,1.5216666666666667,1.67
,2.1366666666666667,2.203333333333333,2.2383333333333333,2.388333333333333
,2.87,2.905,2.94,3.105
,3.5233333333333334,3.59,3.625,3.7733333333333334
,4.191666666666666,4.256666666666667,4.293333333333333,4.458333333333333
,4.875,4.941666666666666,4.976666666666667,5.126666666666667
,5.608333333333333,5.658333333333333,5.678333333333334,5.86
,6.343333333333334,6.395,6.43,6.595
,7.0616666666666665,7.128333333333333,7.148333333333333,7.3116666666666665
,7.763333333333334,7.83,7.865,8.013333333333334
,8.496666666666666,8.546666666666667,8.566666666666666,8.731666666666667
,9.198333333333334,9.265,9.3,9.45
,9.633333333333333,9.966666666666667,,
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
0,15,15,14,14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
