P Waves (Seconds),Q Waves (Seconds),R Waves (Seconds),S Waves (Seconds),T Waves (Seconds)
,0.2683333333333333,0.25,0.27,0.41833333333333333
,0.835,0.9016666666666666,0.92,1.085
,1.52,1.585,1.605,1.77
,2.22,2.27,2.29,2.4366666666666665
,2.8716666666666666,2.921666666666667,2.9566666666666666,3.105
,3.5383333333333336,3.59,3.625,3.7733333333333334
,4.223333333333334,4.273333333333333,4.293333333333333,4.456666666666667
,4.923333333333333,4.958333333333333,4.993333333333333,5.141666666666667
,5.591666666666667,5.641666666666667,5.676666666666667,5.826666666666667
,6.2283333333333335,6.293333333333333,6.328333333333333,6.476666666666667
,6.8933333333333335,6.945,6.98,7.128333333333333
,7.513333333333334,7.58,7.615,7.763333333333334
,8.163333333333334,8.213333333333333,8.233333333333333,8.381666666666666
,8.853333333333333,8.831666666666667,8.865,9.015
,9.516666666666667,9.498333333333333,9.518333333333333,9.683333333333334
,,,,
,,,,
,,,,
,,,,
Total Found,Total Found,Total Found,Total Found,Total Found
0,15,15,15,15
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
